"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"31079","Hall",31,79,"Nebraska",0,0
"31143","Polk",31,143,"Nebraska",0.753149481,0
"31157","Scotts Bluff",31,157,"Nebraska",0.00946590899999999,0
"31109","Lancaster",31,109,"Nebraska",0.28154006,0
"31007","Banner",31,7,"Nebraska",0,0
"31015","Boyd",31,15,"Nebraska",0.210345746,0.723268771
"31099","Kearney",31,99,"Nebraska",0,0
"31131","Otoe",31,131,"Nebraska",0,0
"31061","Franklin",31,61,"Nebraska",0.311284344,0.737093379
"31081","Hamilton",31,81,"Nebraska",0.323768327,0.958505973
"31017","Brown",31,17,"Nebraska",0.3561974,0.723672664
"31025","Cass",31,25,"Nebraska",0.739123942,0
"31105","Kimball",31,105,"Nebraska",0.699442303,0
"31113","Logan",31,113,"Nebraska",0,0
"31041","Custer",31,41,"Nebraska",0.446543306,0.42825666
"31159","Seward",31,159,"Nebraska",0,0
"31181","Webster",31,181,"Nebraska",0,0
"31111","Lincoln",31,111,"Nebraska",0.394777804,0.494496869
"31183","Wheeler",31,183,"Nebraska",0,0
"31087","Hitchcock",31,87,"Nebraska",0.704732398,0.234639918
"31115","Loup",31,115,"Nebraska",0,0
"31037","Colfax",31,37,"Nebraska",0,0
"31141","Platte",31,141,"Nebraska",0,0
"31031","Cherry",31,31,"Nebraska",0.486208257,0.442438209
"31091","Hooker",31,91,"Nebraska",0,0
"31057","Dundy",31,57,"Nebraska",0,0
"31001","Adams",31,1,"Nebraska",0.356829602,0.236193461
"31071","Garfield",31,71,"Nebraska",0,0.527917098
"31059","Fillmore",31,59,"Nebraska",0,0
"31035","Clay",31,35,"Nebraska",0.289376527,0.193266642
"31011","Boone",31,11,"Nebraska",0.244651675,0.632435237
"31163","Sherman",31,163,"Nebraska",0.902489906,0
"31009","Blaine",31,9,"Nebraska",0,0
"31067","Gage",31,67,"Nebraska",0,0.338626264
"31117","McPherson",31,117,"Nebraska",0,0
"31129","Nuckolls",31,129,"Nebraska",0.377213625,0
"31047","Dawson",31,47,"Nebraska",0.056190631,0
"31077","Greeley",31,77,"Nebraska",0,0
"31019","Buffalo",31,19,"Nebraska",0.174182208,0
"31097","Johnson",31,97,"Nebraska",0,0
"31123","Morrill",31,123,"Nebraska",0.437447579,0
"31045","Dawes",31,45,"Nebraska",0.219564146,0.826366512
"31013","Box Butte",31,13,"Nebraska",0.66278535,0
"31127","Nemaha",31,127,"Nebraska",0,0
"31153","Sarpy",31,153,"Nebraska",0.475741057,0.273123643
"31049","Deuel",31,49,"Nebraska",0,0.739282259
"31051","Dixon",31,51,"Nebraska",0,0
"31171","Thomas",31,171,"Nebraska",0,0
"31023","Butler",31,23,"Nebraska",0,0
"31039","Cuming",31,39,"Nebraska",0.494373061,0.776893952
"31043","Dakota",31,43,"Nebraska",0,0
"31005","Arthur",31,5,"Nebraska",0,0
"31179","Wayne",31,179,"Nebraska",0.54911296,0
"31053","Dodge",31,53,"Nebraska",0.21193909,0
"31161","Sheridan",31,161,"Nebraska",0.349456517,0
"31175","Valley",31,175,"Nebraska",0,0.805300286
"31185","York",31,185,"Nebraska",0,0
"31103","Keya Paha",31,103,"Nebraska",0,0
"31125","Nance",31,125,"Nebraska",0.654034813,0
"31101","Keith",31,101,"Nebraska",0,0.536981098
"31165","Sioux",31,165,"Nebraska",0,0
"31133","Pawnee",31,133,"Nebraska",0.613459338,0
"31167","Stanton",31,167,"Nebraska",0.687222194,0
"31169","Thayer",31,169,"Nebraska",0,0.46716046
"31083","Harlan",31,83,"Nebraska",0.507941002,0.917994202
"31155","Saunders",31,155,"Nebraska",0.542019378,0
"31095","Jefferson",31,95,"Nebraska",0.497403914,0.212331527
"31021","Burt",31,21,"Nebraska",0.234986008,0
"31075","Grant",31,75,"Nebraska",0.332419919,0
"31107","Knox",31,107,"Nebraska",0.244338367,0.148931786
"31145","Red Willow",31,145,"Nebraska",0.336412458,0.624485439
"31147","Richardson",31,147,"Nebraska",0.445929009,0.105967373
"31149","Rock",31,149,"Nebraska",0,0.090278765
"31065","Furnas",31,65,"Nebraska",0,0.410283302
"31085","Hayes",31,85,"Nebraska",0,0
"31055","Douglas",31,55,"Nebraska",0.0440858160000001,0
"31151","Saline",31,151,"Nebraska",0,0
"31093","Howard",31,93,"Nebraska",0,0.588384132
"31137","Phelps",31,137,"Nebraska",0,0.606860881
"31177","Washington",31,177,"Nebraska",0,0
"31033","Cheyenne",31,33,"Nebraska",0.462017571,0.538063425
"31003","Antelope",31,3,"Nebraska",0.291617477,0.185581608
"31073","Gosper",31,73,"Nebraska",0.608205174,0
"31119","Madison",31,119,"Nebraska",0,0
"31135","Perkins",31,135,"Nebraska",0,0
"31139","Pierce",31,139,"Nebraska",0,0.411127847
"31063","Frontier",31,63,"Nebraska",0.652702616,0.394951555
"31089","Holt",31,89,"Nebraska",0,0
"31173","Thurston",31,173,"Nebraska",0.441925474,0.275041719
"31069","Garden",31,69,"Nebraska",0,0
"31027","Cedar",31,27,"Nebraska",0,0
"31029","Chase",31,29,"Nebraska",0,0.290010531
"31121","Merrick",31,121,"Nebraska",0.064272863,0.361017593
