"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"46061","Hanson",46,61,"South Dakota",0,0.76391208
"46011","Brookings",46,11,"South Dakota",0.478270677,0
"46119","Sully",46,119,"South Dakota",0,0
"46043","Douglas",46,43,"South Dakota",0,0
"46013","Brown",46,13,"South Dakota",0.367179458,0
"46107","Potter",46,107,"South Dakota",0,0
"46091","Marshall",46,91,"South Dakota",0.178358083,0.636236849
"46111","Sanborn",46,111,"South Dakota",0,0
"46115","Spink",46,115,"South Dakota",0.431139367,0
"46135","Yankton",46,135,"South Dakota",0,0
"46079","Lake",46,79,"South Dakota",0,0.701049635
"46027","Clay",46,27,"South Dakota",0,0
"46093","Meade",46,93,"South Dakota",0,0
"46101","Moody",46,101,"South Dakota",0.216533802,0.098925749
"46105","Perkins",46,105,"South Dakota",0.211024157,0
"46005","Beadle",46,5,"South Dakota",0,0
"46095","Mellette",46,95,"South Dakota",0.375564671,0
"46019","Butte",46,19,"South Dakota",0,0.105509821
"46059","Hand",46,59,"South Dakota",0,0.551403615
"46057","Hamlin",46,57,"South Dakota",0.233306455,0
"46073","Jerauld",46,73,"South Dakota",0,0
"46023","Charles Mix",46,23,"South Dakota",0.529130074,0
"46045","Edmunds",46,45,"South Dakota",0,0.773192528
"46069","Hyde",46,69,"South Dakota",0,0.473949214
"46037","Day",46,37,"South Dakota",0.181984153,0
"46125","Turner",46,125,"South Dakota",0,0
"46121","Todd",46,121,"South Dakota",0.50676466,0.722954738
"46129","Walworth",46,129,"South Dakota",0,0.634230444
"46097","Miner",46,97,"South Dakota",0,0.587614453
"46099","Minnehaha",46,99,"South Dakota",0.162762384,0
"46117","Stanley",46,117,"South Dakota",0,0.865662008
"46081","Lawrence",46,81,"South Dakota",0.08496469,0.208429341
"46123","Tripp",46,123,"South Dakota",0.235896957,0
"46055","Haakon",46,55,"South Dakota",0,0
"46109","Roberts",46,109,"South Dakota",0,0
"46025","Clark",46,25,"South Dakota",1,0
"46015","Brule",46,15,"South Dakota",0,0
"46071","Jackson",46,71,"South Dakota",0.284807759,0.926741314
"46021","Campbell",46,21,"South Dakota",0,0.318169573
"46065","Hughes",46,65,"South Dakota",0,0
"46039","Deuel",46,39,"South Dakota",0,0
"46017","Buffalo",46,17,"South Dakota",0,0.868902984
"46049","Faulk",46,49,"South Dakota",0.622969099,0
"46007","Bennett",46,7,"South Dakota",0,0.753344081
"46087","McCook",46,87,"South Dakota",0,0
"46041","Dewey",46,41,"South Dakota",0.567409774,0.706104659
"46075","Jones",46,75,"South Dakota",0,0
"46031","Corson",46,31,"South Dakota",0.172144216,0.576450444
"46003","Aurora",46,3,"South Dakota",0.363637231,0.635736001
"46053","Gregory",46,53,"South Dakota",0.108765497,0.835522402
"46051","Grant",46,51,"South Dakota",0,0
"46083","Lincoln",46,83,"South Dakota",0,0
"46127","Union",46,127,"South Dakota",0,0
"46067","Hutchinson",46,67,"South Dakota",0,0
"46009","Bon Homme",46,9,"South Dakota",0.229866114,0.909180392
"46033","Custer",46,33,"South Dakota",0,0
"46047","Fall River",46,47,"South Dakota",0.692076597,0.247119023
"46077","Kingsbury",46,77,"South Dakota",0,0
"46103","Pennington",46,103,"South Dakota",0.317308249,0.448600205
"46089","McPherson",46,89,"South Dakota",0,0
"46035","Davison",46,35,"South Dakota",0,0
"46102","Southwest Central South Dakota",46,102,"South Dakota",0.432313877,0.816358482
"46137","Ziebach",46,137,"South Dakota",0.709444913,0.843861845
"46063","Harding",46,63,"South Dakota",0,0
"46085","Lyman",46,85,"South Dakota",0.864818684,0.931925037
"46029","Codington",46,29,"South Dakota",0.249293828,0.208376146
