"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"25005","Bristol",25,5,"Massachusetts",0,0
"25013","Hampden",25,13,"Massachusetts",0.185339067,0
"25027","Worcester",25,27,"Massachusetts",0,0
"25001","Barnstable",25,1,"Massachusetts",0,0
"25019","Nantucket",25,19,"Massachusetts",0,0
"25009","Essex",25,9,"Massachusetts",0,0
"25023","Plymouth",25,23,"Massachusetts",0,0
"25003","Berkshire",25,3,"Massachusetts",0,0
"25015","Hampshire",25,15,"Massachusetts",0,0
"25011","Franklin",25,11,"Massachusetts",0.290600506,0
"25025","Suffolk",25,25,"Massachusetts",0,0
"25021","Norfolk",25,21,"Massachusetts",0,0
"25007","Dukes",25,7,"Massachusetts",0,0
"25017","Middlesex",25,17,"Massachusetts",0,0
