"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"38075","Renville",38,75,"North Dakota",0.0,0.0
"38013","Burke",38,13,"North Dakota",0.308358946,0.0
"38031","Foster",38,31,"North Dakota",0.0,0.0
"38065","Oliver",38,65,"North Dakota",0.688305385,0.0
"38063","Nelson",38,63,"North Dakota",0.434782608695652,0.0
"38045","LaMoure",38,45,"North Dakota",0.0,0.0
"38069","Pierce",38,69,"North Dakota",0.0,0.379163905
"38103","Wells",38,103,"North Dakota",0.0,0.0
"38089","Stark",38,89,"North Dakota",0.0,0.0
"38071","Ramsey",38,71,"North Dakota",0.178571428571429,0.0
"38019","Cavalier",38,19,"North Dakota",0.0,0.709288856
"38051","McIntosh",38,51,"North Dakota",0.682291612,0.0
"38047","Logan",38,47,"North Dakota",0.0,0.0
"38003","Barnes",38,3,"North Dakota",0.0,0.4
"38081","Sargent",38,81,"North Dakota",0.43150244,0.609230023
"38093","Stutsman",38,93,"North Dakota",0.0,0.0
"38083","Sheridan",38,83,"North Dakota",0.665972113,0.602577495
"38079","Rolette",38,79,"North Dakota",0.60655737704918,0.76
"38015","Burleigh",38,15,"North Dakota",0.217592592592593,0.310606060606061
"38023","Divide",38,23,"North Dakota",0.0,0.0
"38017","Cass",38,17,"North Dakota",0.107692307692308,0.205128205128205
"38097","Traill",38,97,"North Dakota",0.0,0.0
"38001","Adams",38,1,"North Dakota",0.0,0.722815991
"38029","Emmons",38,29,"North Dakota",0.458333333333333,0.0
"38101","Ward",38,101,"North Dakota",0.246696035242291,0.529411764705882
"38021","Dickey",38,21,"North Dakota",0.146341463414634,0.0
"38091","Steele",38,91,"North Dakota",0.0,0.88839608
"38027","Eddy",38,27,"North Dakota",0.0,0.0
"38087","Slope",38,87,"North Dakota",0.0,0.0
"38033","Golden Valley",38,33,"North Dakota",0.660288368,0.601539524
"38105","Williams",38,105,"North Dakota",0.0,0.0
"38067","Pembina",38,67,"North Dakota",0.0,0.0
"38099","Walsh",38,99,"North Dakota",0.0,0.0
"38053","McKenzie",38,53,"North Dakota",0.0,0.0
"38085","Sioux",38,85,"North Dakota",0.857890817,0.739609318
"38005","Benson",38,5,"North Dakota",0.622222222222222,0.905568394
"38035","Grand Forks",38,35,"North Dakota",0.0,0.0
"38049","McHenry",38,49,"North Dakota",0.641025641025641,0.723784899
"38055","McLean",38,55,"North Dakota",0.0,0.0
"38025","Dunn",38,25,"North Dakota",0.474020837,0.515110322
"38077","Richland",38,77,"North Dakota",0.0,0.0
"38009","Bottineau",38,9,"North Dakota",0.0,0.0
"38059","Morton",38,59,"North Dakota",0.0,0.0487804878048781
"38061","Mountrail",38,61,"North Dakota",0.0,0.0
"38095","Towner",38,95,"North Dakota",0.523809523809524,0.0
"38007","Billings",38,7,"North Dakota",0.0,0.0
"38039","Griggs",38,39,"North Dakota",0.0,0.0
"38043","Kidder",38,43,"North Dakota",0.0,0.556406485
"38073","Ransom",38,73,"North Dakota",0.421052631578947,0.0
"38011","Bowman",38,11,"North Dakota",0.561756666,0.0
"38037","Grant",38,37,"North Dakota",0.434678536,0.634168958
"38041","Hettinger",38,41,"North Dakota",0.457971294,0.0
"38057","Mercer",38,57,"North Dakota",0.0,0.0
